2157 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/clustering/lib/jackson-core-asl-1.7.4.jar' to classloader
2157 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/clustering/lib/jackson-mapper-asl-1.7.4.jar' to classloader
2158 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
2158 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
2158 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
2159 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/dist/solr-clustering-4.5.1.jar' to classloader
2159 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
2160 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
2160 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/dist/solr-langid-4.5.1.jar' to classloader
2161 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
2161 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
2162 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/velocity/lib/velocity-1.7.jar' to classloader
2162 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
2163 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/dist/solr-velocity-4.5.1.jar' to classloader
2163 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/dist/solr-dataimporthandler-4.5.1.jar' to classloader
2164 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/xcv58/solr-4.5.1/dist/solr-dataimporthandler-extras-4.5.1.jar' to classloader
2313 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.update.SolrIndexConfig  – IndexWriter infoStream solr logging is enabled
2321 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrConfig  – Using Lucene MatchVersion: LUCENE_45
2457 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.Config  – Loaded SolrConfig: solrconfig.xml
2464 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.schema.IndexSchema  – Reading Solr Schema from schema.xml
2540 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.schema.IndexSchema  – [collection1] Schema name=example
3189 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.schema.IndexSchema  – unique key field: id
3276 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.schema.FileExchangeRateProvider  – Reloading exchange rates from file currency.xml
3287 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.schema.FileExchangeRateProvider  – Reloading exchange rates from file currency.xml
3429 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – solr.NRTCachingDirectoryFactory
3436 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – [collection1] Opening new SolrCore at /Users/xcv58/solr-4.5.1/wiki/solr/collection1/, dataDir=/Users/xcv58/solr-4.5.1/wiki/solr/collection1/data/
3437 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.JmxMonitoredMap  – No JMX servers found, not exposing Solr information with JMX.
3442 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
3442 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
3458 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /Users/xcv58/solr-4.5.1/wiki/solr/collection1/data
3459 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – New index directory detected: old=null new=/Users/xcv58/solr-4.5.1/wiki/solr/collection1/data/index/
