INFO  - 2013-11-05 21:56:57.664; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2013-11-05 21:56:57.690; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2013-11-05 21:56:57.690; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2013-11-05 21:56:57.696; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2013-11-05 21:56:57.697; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2013-11-05 21:56:57.710; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2013-11-05 21:56:57.716; org.apache.solr.core.RequestHandlers; created /update/json: solr.JsonUpdateRequestHandler
INFO  - 2013-11-05 21:56:57.720; org.apache.solr.core.RequestHandlers; created /update/csv: solr.CSVRequestHandler
INFO  - 2013-11-05 21:56:57.721; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2013-11-05 21:56:57.723; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2013-11-05 21:56:57.724; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2013-11-05 21:56:57.727; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2013-11-05 21:56:57.728; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2013-11-05 21:56:57.728; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2013-11-05 21:56:57.732; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2013-11-05 21:56:57.737; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2013-11-05 21:56:57.749; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2013-11-05 21:56:57.776; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2013-11-05 21:56:57.776; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-11-05 21:56:57.776; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2013-11-05 21:56:57.776; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-11-05 21:56:57.777; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2013-11-05 21:56:57.777; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: org.apache.solr.handler.js.JavaScriptRequestHandler
INFO  - 2013-11-05 21:56:57.777; org.apache.solr.core.RequestHandlers; created /js: org.apache.solr.handler.js.JavaScriptRequestHandler
INFO  - 2013-11-05 21:56:57.777; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-11-05 21:56:57.777; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2013-11-05 21:56:57.778; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-11-05 21:56:57.778; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2013-11-05 21:56:57.808; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-11-05 21:56:57.812; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-11-05 21:56:57.813; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-11-05 21:56:57.832; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2013-11-05 21:56:57.832; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2013-11-05 21:56:57.837; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.NIOFSDirectory@/Users/xcv58/solr-4.5.1/example/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@d876811; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2013-11-05 21:56:57.837; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2013-11-05 21:56:57.848; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@3da34b1f main
INFO  - 2013-11-05 21:56:57.856; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2013-11-05 21:56:57.866; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2013-11-05 21:56:57.875; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2013-11-05 21:56:57.878; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /Users/xcv58/solr-4.5.1/example/solr/collection1/conf/elevate.xml
INFO  - 2013-11-05 21:56:57.918; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2013-11-05 21:56:57.919; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@3da34b1f main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2013-11-05 21:56:57.920; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2013-11-05 21:56:57.923; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/Users/xcv58/solr-4.5.1/example
INFO  - 2013-11-05 21:56:57.923; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2013-11-05 21:56:57.982; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2013-11-05 21:56:57.992; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=70 
INFO  - 2013-11-05 21:56:57.993; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2013-11-05 21:56:57.994; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2013-11-05 21:56:57.994; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2013-11-05 21:56:57.994; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@3da34b1f main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2013-11-05 21:57:00.757; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&_=1383706620750&wt=json} status=0 QTime=3 
INFO  - 2013-11-05 21:57:00.820; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/system params={_=1383706620782&wt=json} status=0 QTime=35 
INFO  - 2013-11-05 22:00:03.167; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={} hits=0 status=0 QTime=3 
INFO  - 2013-11-05 22:00:20.412; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&_=1383706820408&wt=json} status=0 QTime=1 
INFO  - 2013-11-05 22:00:20.443; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/system params={_=1383706820421&wt=json} status=0 QTime=18 
INFO  - 2013-11-05 22:02:58.403; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&_=1383706978399&wt=json} status=0 QTime=0 
INFO  - 2013-11-05 22:02:58.454; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/system params={_=1383706978423&wt=json} status=0 QTime=29 
INFO  - 2013-11-05 22:20:03.159; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&_=1383708003152&wt=json} status=0 QTime=1 
INFO  - 2013-11-05 22:20:03.225; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/system params={_=1383708003184&wt=json} status=0 QTime=36 
INFO  - 2013-11-05 22:40:00.410; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[GB18030TEST (1450924258489270272)]} 0 103
INFO  - 2013-11-05 22:40:00.436; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[SP2514N (1450924258542747648), 6H500F0 (1450924258552184832)]} 0 15
INFO  - 2013-11-05 22:40:00.456; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[F8V7067-APL-KIT (1450924258568962048), IW-02 (1450924258573156352)]} 0 9
INFO  - 2013-11-05 22:40:00.482; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[MA147LL/A (1450924258590982144)]} 0 14
INFO  - 2013-11-05 22:40:00.505; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[adata (1450924258619293696), apple (1450924258620342272), asus (1450924258620342273), ati (1450924258621390848), belkin (1450924258622439424), canon (1450924258623488000), corsair (1450924258623488001), dell (1450924258624536576), maxtor (1450924258625585152), samsung (1450924258626633728), ... (11 adds)]} 0 10
INFO  - 2013-11-05 22:40:00.536; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[TWINX2048-3200PRO (1450924258644459520), VS1GB400C3 (1450924258651799552), VDBDB1A16 (1450924258657042432)]} 0 17
INFO  - 2013-11-05 22:40:00.568; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[USD (1450924258682208256), EUR (1450924258685353984), GBP (1450924258687451136), NOK (1450924258690596864)]} 0 13
INFO  - 2013-11-05 22:40:00.587; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[3007WFP (1450924258711568384)]} 0 4
INFO  - 2013-11-05 22:40:00.603; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[VA902B (1450924258727297024)]} 0 5
INFO  - 2013-11-05 22:40:00.623; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[0579B002 (1450924258746171392)]} 0 7
INFO  - 2013-11-05 22:40:00.643; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[9885A004 (1450924258769240064)]} 0 6
INFO  - 2013-11-05 22:40:00.667; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[SOLR1000 (1450924258794405888)]} 0 5
